stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type
000001_001,籠原駅南口,,36.17357,139.330697,000001_001,0
000001_002,保育ステーション前,,36.170643,139.330326,000001_002,0
000001_003,熊谷文化創造館,,36.165472,139.328499,000001_003,0
000001_004,拾六間北,,36.168683,139.326582,000001_004,0
000001_005,NTT前,,36.172511,139.326455,000001_005,0
000001_006,籠原保育所,,36.175136,139.324489,000001_006,0
000001_007,籠原団地,,36.173913,139.314232,000001_007,0
000001_008,寿公園,,36.170644,139.308104,000001_008,0
000001_009,自衛隊前,,36.16945,139.313537,000001_009,0
000001_010,拾六間南,,36.16503,139.315603,000001_010,0
000001_011,三尻公民館,,36.159465,139.322361,000001_011,0
000001_012,三尻郵便局,,36.15654,139.32377,000001_012,0
000001_013,三尻宮島,,36.153875,139.32381,000001_013,0
000001_014,武体,,36.146946,139.325873,000001_014,0
000001_015,大麻生駅入口,,36.146876,139.331913,000001_015,0
000001_016,大麻生小学校,,36.148315,139.340557,000001_016,0
000001_017,運動公園,,36.153831,139.345242,000001_017,0
000001_018,広瀬西,,36.150471,139.349977,000001_018,0
000001_019,熊谷商業高校入口,,36.151131,139.355955,000001_019,0
000001_020,天田屋前,,36.150398,139.359303,000001_020,0
000001_021,勤労青少年ホーム,,36.148896,139.364528,000001_021,0
000001_022,堤公園入口,,36.146017,139.369629,000001_022,0
000001_023,伊勢町ふれあい公園,,36.143634,139.372925,000001_023,0
000001_024,見晴郵便局,,36.141821,139.377383,000001_024,0
000001_025,福島病院北,,36.140502,139.381928,000001_025,0
000001_026,熊谷駅南口,,36.1389,139.388697,000001_026,0
000002_002,福島病院北,,36.140386,139.381902,000002_002,0
000002_003,見晴郵便局,,36.141738,139.377324,000002_003,0
000002_004,伊勢町ふれあい公園,,36.143546,139.372885,000002_004,0
000002_005,堤公園入口,,36.145946,139.369545,000002_005,0
000002_006,勤労青少年ホーム,,36.148985,139.364133,000002_006,0
000002_007,天田屋前,,36.15031,139.359257,000002_007,0
000002_008,熊谷商業高校入口,,36.150982,139.355998,000002_008,0
000002_009,広瀬西,,36.150296,139.350054,000002_009,0
000002_011,大麻生小学校,,36.148251,139.340586,000002_011,0
000002_012,大麻生駅入口,,36.146817,139.331919,000002_012,0
000002_013,武体,,36.146937,139.325818,000002_013,0
000002_014,三尻宮島,,36.153878,139.323741,000002_014,0
000002_015,三尻郵便局,,36.156576,139.323655,000002_015,0
000002_016,三尻公民館,,36.159409,139.32228,000002_016,0
000002_017,拾六間南,,36.164953,139.315529,000002_017,0
000002_018,自衛隊前,,36.169481,139.313385,000002_018,0
000002_020,籠原団地,,36.173982,139.314275,000002_020,0
000002_021,籠原保育所,,36.175173,139.324554,000002_021,0
000002_022,NTT前,,36.172609,139.326582,000002_022,0
000002_023,拾六間北,,36.168768,139.326658,000002_023,0
000002_024,熊谷文化創造館,,36.165428,139.328346,000002_024,0
000002_025,保育ステーション前,,36.170735,139.329811,000002_025,0
000003_001,妻沼行政センター,,36.223916,139.368681,000003_001,0
000003_002,登戸,,36.227901,139.37156,000003_002,0
000003_003,聖天山南入口,,36.227541,139.374994,000003_003,0
000003_004,妻沼聖天前,,36.228075,139.377556,000003_004,0
000003_005,妻沼中央公民館入口,,36.223155,139.38284,000003_005,0
000003_006,妻沼東中学校前,,36.22217,139.387119,000003_006,0
000003_007,善ヶ島西部,,36.220748,139.39408,000003_007,0
000003_008,善ヶ島コミュニティセンター入口,,36.216208,139.400386,000003_008,0
000003_009,弁財,,36.210319,139.40758,000003_009,0
000003_010,西島,,36.206915,139.415639,000003_010,0
000003_011,葛和田老人憩いの家,,36.201837,139.419177,000003_011,0
000003_012,葛和田橋南,,36.196825,139.414483,000003_012,0
000003_013,日向中,,36.195446,139.409655,000003_013,0
000003_014,日向上,,36.196163,139.406977,000003_014,0
000003_015,日向団地,,36.197309,139.403066,000003_015,0
