shape_pt_lat,shape_pt_lon,shape_pt_sequence
36.173569,139.330646,1
36.173537,139.330662,2
36.17332,139.33052,3
36.173322,139.330445,4
36.173402,139.330304,5
36.173535,139.330178,6
36.173602,139.330001,7
36.173549,139.329887,8
36.173327,139.329694,9
36.172659,139.32916,10
36.171671,139.328376,11
36.171578,139.328416,12
36.170418,139.330656,13
36.170304,139.3307,14
36.168753,139.329965,15
36.166532,139.328948,16
36.164708,139.328098,17
36.164703,139.328031,18
36.165334,139.326198,19
36.165391,139.326188,20
36.166714,139.327229,21
36.16733,139.327733,22
36.167592,139.327926,23
36.167919,139.328176,24
36.167956,139.328155,25
36.168898,139.326211,26
36.169028,139.326192,27
36.170757,139.327605,28
36.171542,139.328215,29
36.171642,139.328164,30
36.172378,139.326807,31
36.173132,139.325371,32
36.173302,139.325404,33
36.173523,139.325983,34
36.173605,139.326193,35
36.173774,139.32646,36
36.173921,139.326587,37
36.173981,139.326577,38
36.174156,139.326279,39
36.174511,139.325641,40
36.174676,139.325345,41
36.174857,139.325028,42
36.175062,139.324668,43
36.17534,139.324169,44
36.175491,139.323898,45
36.17553,139.32382,46
36.175535,139.323769,47
36.175393,139.32318,48
36.175284,139.32279,49
36.175161,139.322382,50
36.174988,139.321749,51
36.174941,139.321445,52
36.17491,139.321134,53
36.174911,139.321021,54
36.175104,139.320072,55
36.175159,139.319719,56
36.175255,139.319111,57
36.175255,139.318926,58
36.17522,139.318778,59
36.175153,139.318654,60
36.175108,139.318596,61
36.17438,139.317815,62
36.174359,139.317775,63
36.174343,139.317691,64
36.174292,139.317629,65
36.17409,139.317421,66
36.173806,139.317097,67
36.173644,139.316932,68
36.173482,139.316748,69
36.173191,139.316434,70
36.173202,139.316332,71
36.173358,139.315888,72
36.173528,139.3154,73
36.173615,139.315157,74
36.173861,139.314419,75
36.173908,139.314314,76
36.173978,139.314104,77
36.173967,139.314048,78
36.173846,139.313917,79
36.17357,139.313759,80
36.172962,139.313102,81
36.172428,139.312536,82
36.172399,139.312539,83
36.172116,139.312823,84
36.172001,139.312916,85
36.171847,139.313026,86
36.171688,139.313121,87
36.17155,139.313196,88
36.171333,139.313271,89
36.171196,139.313317,90
36.170873,139.313383,91
36.170705,139.313397,92
36.170609,139.313246,93
36.17028,139.309502,94
36.170331,139.309412,95
36.171423,139.308531,96
36.171426,139.308509,97
36.171046,139.307785,98
36.171026,139.30778,99
36.170711,139.308038,100
36.170235,139.308418,101
36.170225,139.308442,102
36.170502,139.31162,103
36.170641,139.313207,104
36.170558,139.313391,105
36.169901,139.313445,106
36.169494,139.313501,107
36.168754,139.313551,108
36.167598,139.313616,109
36.167454,139.313629,110
36.167292,139.31367,111
36.167131,139.31374,112
36.166795,139.313938,113
36.166109,139.314369,114
36.165961,139.314481,115
36.165837,139.314604,116
36.165616,139.314862,117
36.165395,139.315135,118
36.165114,139.315479,119
36.164177,139.316606,120
36.163378,139.317574,121
36.162647,139.318473,122
36.161847,139.319422,123
36.161567,139.319756,124
36.161266,139.320136,125
36.16009,139.321542,126
36.159853,139.321853,127
36.159248,139.322557,128
36.158967,139.322834,129
36.158705,139.323056,130
36.157923,139.323616,131
36.157462,139.323969,132
36.157368,139.324037,133
36.157222,139.324068,134
36.156954,139.323995,135
36.156598,139.323765,136
36.156367,139.323643,137
36.156248,139.323585,138
36.15613,139.323545,139
36.155992,139.323517,140
36.155814,139.323506,141
36.155551,139.323535,142
36.155289,139.323573,143
36.155074,139.323563,144
36.154842,139.323523,145
36.154766,139.323536,146
36.154593,139.323617,147
36.154506,139.323635,148
36.154066,139.323733,149
36.153974,139.323762,150
36.153498,139.323888,151
36.153022,139.324,152
36.15268,139.324018,153
36.152335,139.324023,154
36.151979,139.324091,155
36.151427,139.324207,156
36.151084,139.324295,157
36.150916,139.324352,158
36.150641,139.324469,159
36.150258,139.324654,160
36.149875,139.324839,161
36.149254,139.325145,162
36.148983,139.32528,163
36.148655,139.325424,164
36.148376,139.325481,165
36.147987,139.325562,166
36.147799,139.325605,167
36.147428,139.325714,168
36.14707,139.325824,169
36.146843,139.325878,170
36.14659,139.325949,171
36.146279,139.326074,172
36.146269,139.32612,173
36.14647,139.326679,174
36.146661,139.327281,175
36.14672,139.327512,176
36.146763,139.327835,177
36.146769,139.328032,178
36.146755,139.328293,179
36.146686,139.328659,180
36.146617,139.328949,181
36.146594,139.329099,182
36.146585,139.32925,183
36.146584,139.329466,184
36.146596,139.329623,185
36.146665,139.330197,186
36.146759,139.330973,187
36.146822,139.331511,188
36.146877,139.332059,189
36.146913,139.332473,190
36.14692,139.332897,191
36.146852,139.333345,192
36.146845,139.333437,193
36.146843,139.333583,194
36.146856,139.33374,195
36.146888,139.333929,196
36.147005,139.334486,197
36.147676,139.337627,198
36.148404,139.341056,199
36.14883,139.342996,200
36.149384,139.345487,201
36.149472,139.345683,202
36.149656,139.345829,203
36.149697,139.34596,204
36.149738,139.346622,205
36.149926,139.347764,206
36.150044,139.348184,207
36.150118,139.348256,208
36.151226,139.34844,209
36.152251,139.34861,210
36.154688,139.348992,211
36.154768,139.34895,212
36.154796,139.348856,213
36.154772,139.348747,214
36.154704,139.348535,215
36.154612,139.348162,216
36.154526,139.34768,217
36.154311,139.345786,218
36.154233,139.345133,219
36.154183,139.344695,220
36.154146,139.344428,221
36.154133,139.344412,222
36.154036,139.344435,223
36.154003,139.344494,224
36.154102,139.34516,225
36.154091,139.345186,226
36.154001,139.345211,227
36.153978,139.345199,228
36.153843,139.344498,229
36.153859,139.344474,230
36.154141,139.344393,231
36.154195,139.344431,232
36.15451,139.347312,233
36.15455,139.347651,234
36.154611,139.348005,235
36.154654,139.348218,236
36.154715,139.348465,237
36.154862,139.348961,238
36.154783,139.34907,239
36.15383,139.348918,240
36.150127,139.348326,241
36.150086,139.348371,242
36.151186,139.353442,243
36.151104,139.353604,244
36.151095,139.353951,245
36.151077,139.355239,246
36.151087,139.355877,247
36.151047,139.356378,248
36.15072,139.35794,249
36.15047,139.358992,250
36.150314,139.359526,251
36.150088,139.360039,252
36.149966,139.360252,253
36.149933,139.360344,254
36.149823,139.360842,255
36.149625,139.361948,256
36.149617,139.36207,257
36.149586,139.362425,258
36.149611,139.363062,259
36.149532,139.363348,260
36.149219,139.363941,261
36.148884,139.364514,262
36.148748,139.3647,263
36.148469,139.365103,264
36.147919,139.365929,265
36.147267,139.366819,266
36.147002,139.367181,267
36.146833,139.367464,268
36.146638,139.36788,269
36.146049,139.369436,270
36.145783,139.370093,271
36.145604,139.370363,272
36.145488,139.370481,273
36.145416,139.37056,274
36.144522,139.371316,275
36.144251,139.371533,276
36.144157,139.371653,277
36.144071,139.371794,278
36.143991,139.371996,279
36.143447,139.373332,280
36.142779,139.374972,281
36.141444,139.378252,282
36.140945,139.379578,283
36.140869,139.379874,284
36.140748,139.38089,285
36.140715,139.381025,286
36.139988,139.383694,287
36.139621,139.385029,288
36.139469,139.385593,289
36.13935,139.385891,290
36.13904,139.386429,291
36.138918,139.386572,292
36.138629,139.386877,293
36.138141,139.38738,294
36.138134,139.387421,295
36.138482,139.387938,296
36.138487,139.38797,297
36.138511,139.387986,298
36.138803,139.388035,299
36.13901,139.388342,300
36.138998,139.388499,301
36.138811,139.388702,302
